Days since first case,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,e1_2_action,Number of Tweet,c7_2_action,c6_3_action,e2_2_action,e1_1_action,e2_1_action,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,c6_2_action,c1_3_action,c4_4_action,temperature,h2_2_action,c2_2_action,c8_4_action,c4_1_action,c2_3_action,c5_2_action,c5_1_action,c3_2_action,h3_1_action,h2_3_action,h2_1_action,c4_3_action,c8_3_action,h1_2_action,urbanPopulation,population_density,cvd_death_rate,gdp_per_capita,diabetes_prevalence,life_expectancy,aged_65_older_sum,clear-day,clear-night,cloudy,partly-cloudy-day,partly-cloudy-night,rain,wind-fog-snow
146,0,1,0,0,0,0,0,3,21,0,63,105,0,0,0,1,0,0,0,0,31,147,132,88.87,103,99,0,0,0,0,0,132,63,0,0,0,0,162,36.907,255.573,423.031,5034.708,8.35,67.27,7.275,1,0,0,0,0,0,0
111,0,1,0,0,0,0,0,37,0,0,51,20,0,0,1,0,0,0,0,0,0,65,0,76.27,0,0,0,0,0,0,0,0,112,0,112,0,33,92,91.698,347.778,79.37,39002.223,5.72,84.63,45.542,0,0,0,1,0,0,0
146,0,0,1,0,0,0,125,2,0,0,128,0,0,0,1,0,0,0,0,0,0,0,0,64.9,0,0,0,0,0,0,0,0,0,54,0,0,0,149,58.515,106.749,145.183,45436.686,6.35,81.54,32.95,1,0,0,0,0,0,0
58,0,0,1,0,0,0,20,1,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,22.72,0,0,0,0,0,0,0,0,8,0,59,2,12,22,87.708,24.718,133.982,46949.283,4.79,82.8,33.418,1,0,0,0,0,0,0
53,0,0,0,0,0,1,0,4,38,39,33,35,0,0,0,0,0,0,0,1,0,42,39,61.18,0,0,42,0,39,35,0,47,0,0,54,0,0,95,91.991,16.177,191.032,18933.907,6.89,76.67,18.639,0,0,0,0,1,0,0
115,0,0,1,0,0,0,94,1.166666667,0,0,97,0,0,0,0,0,0,0,1,0,0,0,0,59.72,0,68,0,0,0,0,0,102,0,23,0,50,0,118,58.515,106.749,145.183,45436.686,6.35,81.54,32.95,0,0,0,0,0,1,0
8,1,0,0,0,0,0,0,1.833333333,3,0,0,0,0,0,1,0,0,0,0,0,0,26,0,75.46,9,0,51,0,21,0,17,30,9,0,0,30,0,9,19.899,0,280.775,1569.888,10.43,57.85,5.473,0,0,1,0,0,0,0
120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75.05,0,0,0,0,0,0,0,0,121,0,0,121,0,112,34.5,64.699,217.288,2683.304,5.75,65.46,4.982,0,0,0,1,0,0,0
63,0,1,0,0,0,0,0,9.5,11,0,0,0,0,0,0,0,0,0,1,0,0,11,0,92.58,0,0,0,0,11,0,0,11,0,0,64,0,59,64,76.607,96.254,260.942,26808.164,16.74,76.16,9.7,0,0,0,1,0,0,0
76,0,1,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,1,0,12,0,94.7,0,13,5,0,0,0,0,20,27,0,28,14,0,24,50.692,135.132,109.861,16277.671,7.04,77.15,18.263,0,0,0,1,0,0,0
86,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50.63,0,0,0,0,0,0,0,0,0,35,0,0,72,0,79.044,46.858,443.129,17167.967,5.18,74.79,24.587,0,0,1,0,0,0,0
114,0,1,0,0,0,0,75,0,0,0,89,0,0,0,1,0,0,0,0,0,0,0,0,84.13,115,0,0,0,0,0,0,0,0,0,0,0,0,114,30.947,87.176,335.346,6570.102,6.86,69.5,5.453,1,0,0,0,0,0,0
125,0,1,0,0,0,0,0,1,0,0,0,0,80,0,0,0,0,1,0,0,0,0,101,74.86,29,40,103,0,0,0,101,101,126,0,0,0,0,113,88.758,594.561,266.591,13367.565,12.71,78.93,13.944,1,0,0,0,0,0,0
